INCI name,CAS,EC no,Annex ref
"1,2,4-TRIHYDROXYBENZENE",533-73-3,208-575-1,
"1,2,4-Trihydroxybenzene when used as a substance in hair and eyelash dye products",533-73-3,208-575-1,II/1642
"1,2,6-HEXANETRIOL",106-69-4,203-424-6,
"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters",68515-42-4,271-084-6,II/1153
"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",68515-50-4,271-093-5,II/1583
"1,2-Benzenedicarboxylic acid, dipentylester, branched and linear [1]; n-Pentyl-isopentylphthalate [2]; di-n-Pentyl phthalate [3]; Diisopentylphthalate [4]",84777-06-0 [1] / 776297-69-9 [2] / 131-18-0 [3] / 605-50-5 [4],284-032-2 [1] / 933-378-9 [2] / 205-017-9 [3] / 210-088-4 [4],II/1151
"1,2-Benzenedicarboxylic acid; di-C6-8-branched alkylesters, C7-rich",71888-89-6,276-158-1,II/1485
"1,2-Benzodiazepine",12794-10-4,,II/49
"1,2-Bis(2-methoxyethoxy)ethane; Triethylene glycol dimethyl ether; (TEGDME); triglyme",112-49-2,203-977-3,II/1147
"1,2-BIS-(2-AMINOETHOXY)ETHANE",,,
"1,2-BUTANEDIOL",584-03-2,209-527-2,
"1,2-Dibromo-3-chloropropane",96-12-8,202-479-3,II/646
"1,2-Dibromoethane",106-93-4,203-444-5,II/651
"1,2-Dichloroethylene",540-59-0,208-750-2,II/126
"1,2-Dichloropropane; propylene dichloride",78-87-5,201-152-2,II/1625
"1,2-Diethoxyethane",629-14-1,211-076-1,II/1472
"1,2-DIHYDROLINALOOL",18479-51-1,242-359-8,
"1,2-Dihydroxyanthraquinone",72-48-0,200-782-5,IV/86
"1,2-Dihydroxyanthraquinone (Pigment Red 83; CI 58000) when used as a substance in hair dye products",72-48-0,200-782-5,II/1361
"1,2-Dimethoxy-4-(2-propenyl)-benzene",93-15-2,202-223-0,III/102
"1,2-Dimethylhydrazine",540-73-8,,II/201
"1,2-Epoxy-3-phenoxypropane (Phenylglycidyl ether)",122-60-1,204-557-2,II/659
"1,2-Epoxy-4-epoxyethylcyclohexane; 4-vinylcyclohexene diepoxide",106-87-6,203-437-7,II/1469
"1,2-Epoxybutane",106-88-7,203-438-2,II/400
"1,2-Ethanediamine, N1,N1-dimethyl-N2-(phenylmethyl)-N2-2-pyridinyl-, hydrochloride (1:?)",22306-05-4,,II/347
"1,2-HEPTANEDIOL",3710-31-4,855-780-2,
"1,2-HEXANEDIOL",6920-22-5,230-029-6,
"1,2-HEXANEDIYL DICAPRATE",,,
"1,3,4,6-TETRAMETHYL-2-PYRIMIDONE SULFATE",,,
"1,3,5-Triazine, 2,4,6-tris(1,1'-biphenyl)-4-yl-, including as nanomaterial",31274-51-8,,VI/29
"1,3,5-Trihydroxybenzene (Phloroglucinol) and its salts, when used as a substance in hair dye products",108-73-6,203-611-2,II/1253
"1,3,5-Tris(oxiranylmethyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione (TGIC)",2451-62-9,219-514-3,II/741
"1,3,5-tris-[(2S and 2R)-2,3-Epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione",59653-74-6,423-400-0,II/760
"1,3-Benzenediamine, 4-methyl-, hydrochloride (1:1)",5459-85-8,,II/364
"1,3-Benzenediamine, 4-methyl-, hydrochloride (1:2)",636-23-7,,II/364
"1,3-Benzenediamine, 4-methyl-6-(phenylazo)- and its salts, when used as a substance in hair dye products",4438-16-8,224-654-3,II/1294
"1,3-benzenediol",108-46-3,203-585-2,III/22
"1,3-benzenediol, 2-methyl",608-25-3,210-155-8,III/243
"1,3-Benzenediol, 4-Chlororesorcinol",95-88-5,202-462-0,III/199
"1,3-Bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione",6440-58-0,229-222-8,V/33
"1,3-Bis(hydroxymethyl)imidazolidine-2-thione",15534-95-9,239-579-1,III/44
"1,3-Bis(vinylsulfonylacetamido)propane",93629-90-4,428-350-3,II/1202
"1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL",74918-21-1,278-022-7,
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",81892-72-0,279-845-4,III/202
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",74918-21-1,278-022-7,III/202
"1,3-BIS-(ISOCYANATOMETHYL) CYCLOHEXANE",38661-72-2,609-567-4,
"1,3-Dichloropropan-2-ol",96-23-1,202-491-9,II/648
"1,3-Dihydroxy-2-propanone",96-26-4,202-494-5,III/322
"1,3-DIMETHYL-3-PHENYLBUTYL ACETATE",68083-58-9,268-407-8,
"1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE",104516-97-4,,
"1,3-Dimethylpentylamine and its salts",105-41-9,203-296-1,II/30
"1,3-Diphenylguanidine",102-06-7,203-002-1,II/993
"1,3-EPOXY-4-VINYLCYCLOHEXANE",106-86-5,,
"1,3-Isobenzofurandione, reaction products with methylquinoline and quinoline",8003-22-3,232-318-2,IV/81
"1,3-Isobenzofurandione, reaction products with methylquinoline and quinoline (Solvent Yellow 33; CI 47000) when used as a substance in hair dye products",8003-22-3,232-318-2,II/1358
"1,3-Propanesultone",1120-71-4,214-317-9,II/751
"1,4,5,8-Tetraaminoanthraquinone (Disperse Blue 1)",2475-45-8,219-603-7,II/700
"1,4-Benzenediamine, 2-(methoxymethyl) 1,4-Benzenediamine, 2-(methoxymethyl)-, sulfate",337906-36-2 ; 337906-37-3,679-526-3; 638-749-6,III/292
"1,4-Benzodiazepine",41935-47-1,,II/49
"1,4-bis(p-Tolylamino)anthraquinone",128-80-3,204-909-5,IV/91
"1,4-bis(p-Tolylamino)anthraquinone (Solvent Green 3; CI 61565) when used as a substance in hair dye products",128-80-3,204-909-5,II/1364
"1,4-BUTANEDIOL",110-63-4,203-786-5,
"1,4-BUTANEDIOL BISDECANOATE",,,
"1,4-BUTANEDIOL DIMETHACRYLATE",2082-81-7,218-218-1,
"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID COPOLYMER",67423-06-7,,
"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER",119553-67-2,,
"1,4-CYCLOHEXANEDICARBOXYLIC ACID",1076-97-7,214-068-6,
"1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE",,,
"1,4-Diamino-2-methoxy-9,10-anthracenedione (Disperse Red 11) and its salts, when used as a substance in hair dye products",2872-48-2,220-703-8,II/1301
"1,4-Diaminoanthraquinone",128-95-0,204-922-6,III/265
"1,4-Dichlorobenzene (p-Dichlorobenzene)",106-46-7,203-400-5,II/1173
"1,4-Dichlorobut-2-ene",764-41-0,212-121-8,II/654
"1,4-Dihydroxy-5,8-bis[(2-hydroxyethyl)amino]anthraquinone (Disperse Blue 7) and its salts, when used as a substance in hair dye products",3179-90-6,221-666-0,II/1302
"1,4-Dihydroxybenzene (Hydroquinone), with the exception of entry 14 in Annex III",123-31-9,204-617-8,II/1339
"1,5,9-TRIMETHYL-OXABICYCLOTRIDECADIENE",13786-79-3 / 71735-79-0,237-443-6 / 275-967-7,
"1,5-Di-(beta-hydroxyethylamino)-2-nitro-4-chlorobenzene (see note 17)",109023-83-8,416-940-3,III/231
"1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE",7779-23-9,231-922-3,
"1,5-NAPHTHALENEDIOL",83-56-7,201-487-4,III/238
"1,5-Naphthylenediamine",2243-62-1,218-817-8,II/242
"1,5-PENTANEDIOL",111-29-5,203-854-4,
"1,6-HDI/POLYVINYL ALCOHOL/ETHYLENEDIAMINE CROSSPOLYMER",,,
"1,6-HEXAMETHYLENE DIISOCYANATE",822-06-0,212-485-8,
"1,6-HEXANEDIAMINE",124-09-4,204-679-6,
"1,6-Octadien-3-ol, 3,7-dimethyl-",78-70-6,201-134-4,III/84
"1,7-NAPHTHALENEDIOL",575-38-2,209-383-0,II/1228
"1,7-Naphthalenediol, when used as a substance in hair dye products",575-38-2,209-383-0,II/1228
1- and 2-Naphthylamines and their salts,91-59-8 / 134-32-7,202-080-4 / 205-138-7,II/242
1- Naphthalenol,90-15-3,201-969-4,III/16
1-((4-Phenylazo)phenylazo)-2-naphthol (Solvent Red 23; CI 26100) when used as a substance in hair dye products,85-86-9,201-638-4,II/1353
1-(.beta.-Ureidoethyl)amino-4-nitrobenzene,27080-42-8,410-700-1,III/249
1-(1-Naphthylmethyl)quinolinium chloride,65322-65-8,406-220-7,II/1196
"1-(2-Amino-5-chlorophenyl)-2,2,2-trifluoro-1,1-ethanediol, hydrochloride",214353-17-0,433-580-2,II/1474
1-(3-((4-Aminophenyl)amino)propyl)-3-methyl-1H-imidazol-3-ium chloride hydrochloride,220158-86-1,,III/316
1-(4-(Phenylazo)phenylazo)-2-naphthol,85-86-9,201-638-4,IV/51
"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one",38083-17-9,253-775-4,V/32
"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one",38083-17-9;,253-775-4;,III/310
"1-(4-Chlorophenyl)-3-(3,4-dichlorophenyl)urea (13)",101-20-2,202-924-1,III/100
"1-(4-Chlorophenyl)-3-(3,4-dichlorophenyl)urea (6)",101-20-2,202-924-1,V/23
"1-(4-Chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl)pentan-3-ol",107534-96-3,403-640-2,II/1189
"1-(4-Methoxyphenyl)-1-pentene-3-one (alpha-Methylanisylideneacetone), when used as a fragrance ingredient",104-27-8,203-190-5,II/444
"1-(4-tert-Butylphenyl)-3-(4-methoxyphenyl) propane-1,3-dione / Avobenzone",70356-09-1,274-581-6,VI/8
1-(4â€™-Aminophenylazo)-2-methyl- 4-(bis-2-hydroxyethyl) aminobenzene,104226-21-3,146-420-6,III/260
"1-(5,6,7,8-Tetrahydro-3,5,5,6,8,8,hexamethyl-2-naphthyl)ethan-1-one (AHTN)",21145-77-7 - 1506-02-1,244-240-6 - 216-133-4,III/182
1-(beta-Aminoethyl)amino-4-(beta-hydroxyethyl)oxy-2-nitrobenzene and its salts,85765-48-6,416-410-1,III/208
1-(beta-Hydroxyethyl)amino-2-nitro-4-N-ethyl-N-(beta-hydroxyethyl)aminobenzene and its hydrocloride,104516-93-0 - 132885-85-9,407-020-2,III/225
1-ACETONAPHTHONE,941-98-0,213-384-1,
1-ACETOXY-2-METHYLNAPHTHALENE,2/9/5697,454-690-7,Annex III/212
"1-ALLYL-3,4,6-TRIMETHYL-2-PYRIMIDONE BROMIDE",878476-91-6,,
"1-Amino-2-nitro-4-(2', 3'-dihydroxypropyl)amino-5-chloro-benzene + 1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene",9556-89-9 - 95576-92-4,,III/250
"1-amino-2-nitro-4-(2',3'-dihydroxypropyl)amino-5-chlorobenzene and 1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene and its salts",95576-89-9 - 95576-92-4, -,III/250
"1-Amino-4-(methylamino)-9,10-anthracenedione (Disperse Violet 4) and its salts, when used as a substance in hair dye products",1220-94-6,214-944-8,II/1283
"1-Amino-4-[[4-[(dimethylamino)methyl]phenyl]amino]anthraquinone and its salts, when used as a substance in hair dye products",67905-56-0 / 12217-43-5,267-677-4 / 235-398-7,II/1278
1-Anilino-4-hydroxyanthraquinone,19286-75-0,242-939-0,IV/88
1-Bromo-2-methylpropyl propionate,158894-67-8,422-900-6,II/1495
"1-Bromo-3,4,5-trifluorobenzene",138526-69-9,418-480-9,II/1017
1-Bromopropane; n-Propyl bromide,106-94-5,203-445-0,II/1139
1-Butyl-3-(N-crotonoylsulphanilyl)urea,52964-42-8,,II/108
"1-Chloro-2,3-epoxypropane (Epichlorohydrin)",106-89-8,203-439-8,II/657
1-Chloro-4-nitrobenzene,100-00-5,202-809-6,II/1179
"1-Cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid",93107-30-3,413-760-7,II/1392
1-Dimethylaminomethyl-1-methylpropyl benzoate (amylocaine) and its salts,644-26-8,211-411-1,II/50
1-Ethyl-1-methylmorpholinium bromide,65756-41-4,418-210-1,II/1084
1-Ethyl-1-methylpyrrolidinium bromide,69227-51-6,418-200-5,II/1091
1-ETHYL-3-METHOXY-TRICYCLOHEPTANE,31996-78-8,403-610-9,
"1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL",67663-05-2,266-851-7,
1-FURFURYL-1H-PYRROLE,1438-94-4,215-876-1,
1-HEXEN-3-OL,4798-44-1,225-355-0,
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",1361000-03-4,,III/300
"1-Hydroxy-2,4-diaminobenzene (2,4-Diaminophenol) and its dihydrochloride salts (2,4-Diaminophenol HCl) when used as a substance in hair dye products",95-86-3 -- 137-09-7,202-459-4 -- 205-279-4,II/1338
"1-Hydroxy-2-beta-hydroxyethylamino-4,6-dinitrobenzene",99610-72-7,412-520-9,III/222
1-Hydroxy-2-methylnaphthalene,7469-77-4,231-265-2,III/213
1-Hydroxy-3-nitro-4-(3-hydroxypropylamino)benzene (see note 17),92952-81-3,406-305-9,III/205
1-Hydroxy-4-(p-toluidino)anthraquinone,81-48-1,201-353-5,IV/89
1-Hydroxy-4-(p-toluidino)anthraquinone (Solvent Violet 13; CI 60725) when used as a substance in hair dye products,81-48-1,201-353-5,II/1363
"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl)-2 pyridon and its monoethanolamine salt",50650-76-5 / 68890-66-4, / 272-574-2,V/35
"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",155601-30-2,429-300-3,
1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE,67920-94-9,267-755-8,
"1-Methoxy-2,4-diaminobenzene (2,4-Diaminoanisole - CI 76050) and its salts",615-05-4,210-406-1,II/376
"1-Methoxy-2,5-diaminobenzene (2,5-Diaminoanisole) and its salts",2/8/5307,226-161-9,II/377
"1-Methoxy-3-(Î²-aminoethyl) amino-4-nitrobenzene, hydrochloride",86419-69-4,415-480-1,III/259
"1-Methyl-2,4,5-trihydroxybenzene and its salts, when used as a substance in hair dye products",1124-09-0,214-390-7,II/1244
"1-Methyl-2,6-bis-(2-hydroxyethylamino)-benzene",149330-25-6;,443-210-1;,III/9b
1-Methyl-3-nitro-1-nitrosoguanidine,70-25-7,200-730-1,II/702
1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED,68921-26-6,272-933-3,
1-METHYL-4-METHYLVINYL-CYCLOHEXANOL,138-87-4,205-342-6,
1-METHYL-4-METHYLVINYL-CYCLOHEXENE,7705-14-8 / 6876-12-6,231-732-0 / 229-977-3,III/88 III/167 III/168
1-METHYL-4-METHYLVINYL-CYCLOHEXYL ACETATE,10198-23-9,233-494-3,
"1-Methylamino-2- nitro-5-(2,3-dihydroxy-propyloxy)- benzene",80062-31-3,279-383-3,III/281
1-METHYLDECYL ACETATE,14936-67-5,239-011-2,
1-METHYLHYDANTOIN-2-IMIDE,60-27-5,200-466-7,
"1-N-Methylmorpholiniumpropylamino-4-hydroxyanthraquinone, methyl sulfate",38866-20-5,254-161-9,III/293
1-NAPHTHALENEACETIC ACID,86-87-3,,
1-NAPHTHOL,90-15-3,201-969-4,III/16
1-Naphthol and its salts,90-15-3,201-969-4,III/16
1-Nitrocarbazole; 1-Nitro-9H-carbazole,31438-22-9,,II/72
1-NITROPROPANE,108-03-2,203-544-9,
1-NONEN-3-OL,21964-44-3,244-686-1,
1-PENTEN-3-OL,616-25-1,210-472-1,
1-Phenoxypropan-2-ol (8),770-35-4,212-222-7,V/43
1-Phenoxypropan-2-ol (8),770-35-4,212-222-7,III/54
1-PHENYLPROPYL ACETATE,2114-29-6,218-312-2,
"1-Propanaminium, 3-[[9,10-dihydro- 4-(methylamino)- 9,10-dioxo-1- anthracenyl] amino]-N,N- dimethyl-N- propyl-, bromide",502453-61-4,481-170-7,III/282
1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,7779-30-8,231-926-5,
1-TRIMETHYL-3-CYCLOHEXENYLETHANONE,68480-14-8,270-891-0,
1-Vinyl-2-pyrrolidone,88-12-0,201-800-4,II/1113
1-Vinylimidazole,1072-63-5,214-012-0,II/1622
1-[(2'-Methoxyethyl)amino]-2-nitro-4-[di-(2'-hydroxyethyl)amino]benzene (see note 17),23920-15-2,459-980-7,III/196
1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol (Pigment Red 4; CI 12085) and its salts when used as a substance in hair dye products,2814-77-9,220-562-2,II/1345
"1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol and its insoluble barium, strontium and zirconium lakes, salts and pigments",2814-77-9,220-562-2,IV/9
"1-[(3-Aminopropyl)amino]-4-(methylamino)anthraquinone and its salts, when used as a substance in hair dye products",22366-99-0,244-938-0,II/1303
1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol,2425-85-6,219-372-2,IV/10
"10-HYDROXY-1,8-P-MENTHADIENE",15766-66-2,239-857-2,
10-HYDROXYDECANOIC ACID,1679-53-4,216-848-1,
10-HYDROXYDECENOIC ACID,765-01-5,,
10-HYDROXYSTEARIC ACID,638-26-6,,
10-UNDECENYL ACETATE,112-19-6,203-944-3,
"11,14-Dioxa-2,9-diazaheptadec-16-enoic Acid, 4,4,6,16-tetramethyl-10,15-dioxo, 2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl ester",41137-60-4 / 72869-86-4,255-239-5 / 276-957-5,III/314
"11-alpha-Hydroxypregn-4-ene-3,20-dione and its esters",80-75-1,201-306-9,II/385
16-ALPHA ETHYL ESTRADIOLCARBOXYLATE,345294-78-2,,
16-BETA METHYL ESTRADIOLPROPANOATE,,,
"1H-Indene-1,3(2H)-dione, 2-(2-quinolinyl)-, sulfonated, sodium salts",38615-46-2 ; 8004-92-0; 95193-83-2,; -; 305-897-5,IV/82
1H-Indol-6-ol,2380-86-1,417-020-4,III/209
"1H-Indole-2,3-Dione",91-56-5,202-077-8,III/210
"1H-Indole-2,3-Dione",91-56-5,202-077-8,III/210
"1H-Indole-5,6-diol",3131-52-0,412-130-9,III/207
"1H-Pyrazole-4,5- diamine, 1-hexyl-, sulfate (2:1)",1361000-03-4,,III/300
"2',4',5',7'-Tetraiodofluorescein, its disodium salt (Acid Red 51; CI 45430) and its aluminium salt (Pigment Red 172 Aluminium lake) when used as a substance in hair dye products",15905-32-5 -- 16423-68-0 -- 12227-78-0,240-046-0 -- 240-474-8 -- 235-440-4,II/1337
2'-DEOXYADENOSINE,"958-09-8,16373-93-6","213-488-7 (I),",
"2,2',2''-Trichlorotriethylamine hydrochloride; Tris(2-chloroethyl)amine hydrochloride",817-09-4,212-442-3,II/327
"2,2'-((3,3',5,5'-Tetramethyl-(1,1'-biphenyl)-4,4'-diyl)-bis(oxymethylene))-bis-oxirane",85954-11-6,413-900-7,II/1390
"2,2'-((3-Chloro-4-((2,6-dichloro-4-nitrophenyl)azo)phenyl)imino)bisethanol (Disperse Brown 1) and its salts, when used as a substance in hair dye products",23355-64-8,245-604-7,II/1260
"2,2'-(1,2-Ethenediyl)bis[5-((4-ethoxyphenyl)azo]benzenesulfonic acid) and its salts, when used as a substance in hair dye products",2870-32-8,220-698-2,II/1264
"2,2'-(6-(4-Methoxyphenyl)-1,3,5-triazine-2,4-diyl)bis(5-((2-ethylhexyl)oxy)phenol) / Bemotrizinol",187393-00-6,,VI/25
"2,2'-Bioxirane (1,2:3,4-Diepoxybutane)",1464-53-5,215-979-1,II/662
"2,2'-Dihydroxy-3,3',5,5',6,6'-hexachlorodiphenylmethane (Hexachlorophene (INN))",70-30-4,200-733-8,II/371
"2,2'-Methylene bis(6-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol) / Bisoctrizole",103597-45-1,403-800-1,VI/23
"2,2'-METHYLENEBIS 4-AMINOPHENOL",63969-46-0,440-850-3,
"2,2'-METHYLENEBIS 4-AMINOPHENOL HCL",27311-52-0,,
"2,2'-Methylenebis(6-bromo-4-chlorophenol)",15435-29-7,239-446-8,V/37
"2,2'-oxydiethanol Diethylene glycol (DEG)",111-46-6,203-872-2,III/186
"2,2'-THIOBIS(4-CHLOROPHENOL)",97-24-5,202-568-7,
"2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[3-oxo-N-phenylbutanamide] (Pigment Yellow 12) and its salts, when used as a substance in hair dye products",6358-85-6,228-787-8,II/1263
"2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide]",5102-83-0,225-822-9,IV/47
"2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide] (Pigment Yellow 13; CI 21100) when used as a substance in hair dye products",5102-83-0,225-822-9,II/1351
"2,2'-[(3,3'-Dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutyramide]",5567-15-7,226-939-8,IV/48
"2,2'-[(4-Amino-3-nitrophenyl)imino]bisethanol hydrochloride and its salts",29705-39-3 - 94158-13-1,216,III/237
"2,2'-[Cyclohexylidenebis[(2-methyl-4,1-phenylene)azo]]bis[4-cyclohexylphenol]",6706-82-7,229-754-0,IV/49
"2,2'-[Cyclohexylidenebis[(2-methyl-4,1-phenylene)azo]]bis[4-cyclohexylphenol] (Solvent Yellow 29; CI 21230) when used as a substance in hair dye products",6706-82-7,229-754-0,II/1352
"2,2'-[[4-[(2-Hydroxyethyl)amino]-3-nitrophenyl]imino]bisethanol (see note 17)",33229-34-4,251-410-3,III/247
"2,2,2-Tribromoethanol (tribromoethyl alcohol)",75-80-9,200-903-1,II/326
"2,2,2-Trichloroethane-1,1-diol",302-17-0,206-117-5,II/77
"2,2,6-Trimethyl-4-piperidyl benzoate (eucaine) and its salts",500-34-5,,II/51
"2,2-bis(bromomethyl) propane-1,3-diol",3296-90-0,221-967-7,II/1665
"2,2-Dibromo-2-nitroethanol",69094-18-4,412-380-9,II/1090
"2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE",1009-62-7,213-771-5,
"2,2â€²-[(4-Aminophenyl))imino]bis (ethanol) sulphate; N,N-bis(2-Hydroxyethyl)- p-Phenylenediamine Sulfate",54381-16-,259-134-5,III/198
"2,3,4,4A,5,6,7,8-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",643-53-8,211-399-8,
"2,3,4-Trichlorobut-1-ene",2431-50-7,219-397-9,II/1051
"2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",67801-27-8,267-147-2,
"2,3,6-TRIMETHYLPHENOL",2416-94-6,219-330-3,
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",1746-01-6,217-122-7,II/367
"2,3-BUTANEDIOL",513-85-9; 5341-95-7; 24347-58-8,208-173-6; 823-920-1; 246-186-9,
"2,3-Diamino-6,7- dihydro-1H,5H- pyrazolo[1,2-a] Pyrazol-1-one dimethanesulfonate",857035-95-1,469-500-8,III/279
"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",857035-95-1,469-500-8,
"2,3-Dibromopropan-1-ol",96-13-9,202-480-9,II/647
"2,3-Dichloro-2-methylbutane",507-45-9,,II/36
"2,3-Dichloropropene",78-88-6,201-153-8,II/1102
"2,3-DIETHYLPYRAZINE",15707-24-1,239-800-1,
"2,3-Dihydro-1H-indole-5,6-diol and its hydrobromide salt (see note 17).",29539-03-5 - 138937-28-7,245,III/204
"2,3-DIHYDRO-2,2,6-TRIMETHYLBENZALDEHYDE",116-26-7,204-133-7,
"2,3-Dihydro-2,2-dimethyl-6-[(4-(phenylazo)-1-naphthelenyl)azo]-1H-pyrimidine (Solvent Black 3) and its salts, when used as a substance in hair dye products",4197-25-5,224-087-1,II/1265
"2,3-DIMETHYL-2-NONENENITRILE",53153-67-6,258-399-4,
"2,3-DIMETHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL",71850-78-7,276-097-0,
"2,3-DIMETHYL-4-FORMYL-1-PHENYL-5-PYRAZOLONE",950-81-2,213-452-0,
"2,3-Dinitrotoluene",602-01-7,210-013-5,II/690
"2,3-Epoxypropan-1-ol (Glycidol)",556-52-5,209-128-3,II/660
"2,3-EPOXYPROPYL COCODIMONIUM CHLORIDE",,,
"2,3-EPOXYPROPYL LAURYLDIMONIUM CHLORIDE",,,
"2,3-Epoxypropyl methacrylate; glycidyl methacrylate",106-91-2,203-441-9,II/1593
"2,3-Epoxypropyl o-tolyl ether",2210-79-9,218-645-3,II/1042
"2,3-Epoxypropyltrimethylammonium chloride; glycidyl trimethylammonium chloride",3033-77-0,221-221-0,II/1473
"2,3-EPOXYPROPYLTRIMONIIUM CHLORIDE",3033-77-0,221-221-0,II/1473
"2,3-NAPHTHALENEDIOL",92-44-4,202-156-7,II/1213
"2,3-Naphthalenediol, when used as a substance in hair dye products",92-44-4,202-156-7,II/1213
"2,3-XYLENOL",526-75-0,208-395-3,
"2,4,5,6-Tetraaminopyrimidine sulphate",5392-28-9,226-393-0,III/200
"2,4,5-Trimethylaniline [1]; 2,4,5-trimethylaniline hydrochloride [2]",137-17-7 [1] / 21436-97-5 [2],205-282-0 [1] / -,II/1158
"2,4,6-Trianilino-(p-carbo-2'-ethylhexyl-1'-oxy)-1,3,5-triazine",88122-99-0,402-070-1,VI/15
"2,4,6-Trichlorophenol",88-06-2,201-795-9,II/1111
"2,4,6-TRIMETHYL-3-CYCLOHEXENECARBALDEHYDE",1423-46-7,215-833-7,
"2,4,6-TRIMETHYL-3-CYCLOHEXENYL-4-PENTEN-3-ONE",67801-30-3,267-150-9,
"2,4,6-TRIMETHYL-4-PHENYL-1,3-DIOXANE",5182-36-5,225-963-6,
"2,4,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",67634-05-3,266-808-2,
"2,4-Diamino-5-methylphenetol and its HCl salt, when used as a substance in hair dye products",113715-25-6,,II/1227
"2,4-DIAMINO-5-METHYLPHENETOLE HCL",113715-25-6,,II/1227
"2,4-DIAMINO-5-METHYLPHENOXYETHANOL",141614-05-3,,II/1314
"2,4-Diamino-5-methylphenoxyethanol and its salts, when used as a substance in hair dye products",141614-05-3 / 113715-27-8,,II/1314
"2,4-DIAMINO-5-METHYLPHENOXYETHANOL HCL",113715-27-8,,II/1314
"2,4-Diaminoanisole sulfate",39156-41-7,254-323-9,II/376
"2,4-DIAMINODIPHENYLAMINE",136-17-7,,II/1214
"2,4-Diaminodiphenylamine, when used as a substance in hair dye products",136-17-4,,II/1214
"2,4-DIAMINOPHENOL",95-86-3,202-459-4,II/1338
"2,4-DIAMINOPHENOL HCL",137-09-7,205-279-4,II/1338
"2,4-DIAMINOPHENOXYETHANOL HCL",66422-95-5,266-357-1,III/242
"2,4-DIAMINOPHENOXYETHANOL SULFATE",70643-20-8,274-713-2,III/242
"2,4-Diaminophenoxyethanol, its hydrochloride and its sulphate",70643-19-5 / 66422-95-5 / 70643-20-8, / 266-357-1 / 274-713-2,III/242
"2,4-Diaminophenylethanol and its salts",14572-93-1,,II/407
"2,4-Dichlorobenzyl alcohol",1777-82-8,217-210-5,V/22
"2,4-DIETHYLPHENYL METHYL KETONE",52191-01-2,257-727-3,
"2,4-Dihydro-5-methyl-2-phenyl-4-(phenylazo)-3H-pyrazol-3-one",4314-14-1,224-330-1,IV/15
